id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
37998,SBBG,,,PreservedSpecimen,0a742d9e-e1ee-436b-8133-271e8fad3d24,SBBG164508,30116,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"D. Myrick",,1867,1968-04-30,1968,4,30,121,,1968-4-30,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,Kern,,"Rankin Ranch logging rd up Breckenridge Mtn",,0,,35.418,-118.579,NAD27,1000,,"UCSanta Barbara A",,MyTopo,,"georef from 2006-2015 archive backup file; Date Georeferenced: Thu Dec 30 16:33:26 2010",,,,,,"6100 [ft]",,,ebalderas,"2018-09-25 01:01:31",,16,urn:uuid:9bbacdba-9351-4418-94f8-f70f3b066285,http://cch2.org/portal/collections/individual/index.php?occid=37998
42672,SBBG,,,PreservedSpecimen,13e736af-f098-41e2-a311-f31fd902eb77,SBBG164507,108619,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Noraine Meng",,379,1967-04-30,1967,4,30,120,,1967-4-30,,slope,,,,,,,,"Flowers Present",,,,,,,"United States",California,Kern,,"near Tehachapi Loop monument on old Tehachapi Hwy",,0,,35.195066,-118.534846,WGS84,200,,"Rancho Santa Ana (no. 9)",,"Google Earth",,"georef from old CCH cumulative file",,,,,,,,,ebalderas,"2018-09-25 01:01:31",,16,urn:uuid:561328b3-a2d4-4823-879f-4a0efdb6cf1d,http://cch2.org/portal/collections/individual/index.php?occid=42672
44681,SBBG,,,PreservedSpecimen,181b0740-f007-4951-8dfb-b34476d8c90c,SBBG164522,64775,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Ralph Hoffmann",,,1928-04-04,1928,4,4,95,,1928-4-4,,bank,,,,,,,,"Flowers Present",,,,,,,"United States",California,"Santa Barbara",,"Solomon Hills: Foxen Cyn",,0,,34.778,-120.155,NAD83,3,,dwilken,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:de84c74f-e085-4b06-a42e-672fcaf5dc77,http://cch2.org/portal/collections/individual/index.php?occid=44681
52573,SBBG,,,PreservedSpecimen,281eb094-e5f9-42e3-98ac-f860c9004249,SBBG164527,20369,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"E. R. Chandler",,1436a,1964-04-03,1964,4,3,94,,1964-4-3,,"woodland; shaded N slope",,,,,,,,"Flowers Present",,,,,,,"United States",California,"Santa Barbara",,"Colson Cyn",,0,,34.942,-120.1995,NAD83,5,,dwilken,,MyTopo,,,,,,,,"1100 ft",,,,"2018-09-25 01:01:31",,16,urn:uuid:78daa20a-b1c6-4c21-b12e-1e5dc8b0f1c9,http://cch2.org/portal/collections/individual/index.php?occid=52573
58338,SBBG,,,PreservedSpecimen,33c16319-d16e-4db6-9a06-6db0eab27139,SBBG164512,137391,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii subsp. menziesii",205100,,Nemophila,menziesii,subsp.,menziesii,,,,,,,,"R. C. Benkendorf",,,,,,,,,,,"open meadows; N-facing 30-40 deg slope",,,,,,,"Bromus madritensis, bryophytes, Delphinium, Athysanus, Lithophragma",,,,,,,,"United States",California,"San Benito",,"[W of Cedar Flat, Griswold Hills]",,0,,36.5567,-120.8108,WGS84,200,,,,,,,715,,,,,,,,SBBG,"2018-09-25 01:01:31",,16,urn:uuid:2dc3d68e-5130-4311-aaa2-7f97d77564b8,http://cch2.org/portal/collections/individual/index.php?occid=58338
59062,SBBG,,,PreservedSpecimen,35274e00-96ec-45cb-aab3-caa983398d75,SBBG164501,112378,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"D. Keil",,18519,1985-03-31,1985,3,31,90,,1985-3-31,"locally abundant","along hwy; grassy understory in oak woodland",,,,,,"fls light blue","Quercus turbinella, Quercus douglasii, Juniperus californica","Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"St Highway 58, ca. 100 m E of jct with Huerhuero Rd",,0,,,,,,,,,,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:d5d9b420-651c-4832-ab66-96b73602b077,http://cch2.org/portal/collections/individual/index.php?occid=59062
63687,SBBG,,,PreservedSpecimen,3e74099c-5f3f-4b49-97d0-254e00da2475,SBBG164523,6136,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"H. and M. Dearing",,2731,1938-04-25,1938,4,25,115,,1938-4-25,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,Tulare,,"jacks Ranch near Posey Post Office",,0,,35.805,-118.681,NAD27,,,,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:5bf13e22-3c44-4c52-b574-36b808dbff43,http://cch2.org/portal/collections/individual/index.php?occid=63687
65199,SBBG,,,PreservedSpecimen,41691c1e-6f5b-4bf2-85f6-606aacaf5788,SBBG164521,64773,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Milo H. Gates",,,1879-00-00,1879,0,0,,,1879,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,"El Dorado",,"Rose Springs",,0,,38.715,-120.939,NAD27,1000,,,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:5d201160-05c3-4188-883c-09f13cc76a44,http://cch2.org/portal/collections/individual/index.php?occid=65199
70368,SBBG,,,PreservedSpecimen,4be8bb54-3ea4-4135-8034-354818888f33,SBBG164525,64774,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Miss Miner",,,1928-03-25,1928,3,25,85,,1928-3-25,,,,,,,,"fls blue",,"Flowers Present",,,,,,,"United States",California,"Santa Barbara",,"Santa Ynez Mtns: Gaviota Pass",,0,,34.4895,-120.225,WGS84,500,,,,GeoLocate,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:8cb15a9d-312f-4dec-af2d-c2411df396da,http://cch2.org/portal/collections/individual/index.php?occid=70368
70425,SBBG,,,PreservedSpecimen,4c00e22d-57a2-4a51-93c4-5eea2e626e44,SBBG164515,49063,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"J. Copeland",,1049,1974-02-17,1974,2,17,48,,1974-2-17,localized,"sandy soil, open fields",,,,,,,,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"Grand View Mesa, Nipomo",,0,,35.01,-120.48,NAD27,1000,,,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:e8119bd2-76fa-4161-af81-b5ada4731274,http://cch2.org/portal/collections/individual/index.php?occid=70425
76240,SBBG,,,PreservedSpecimen,57af1e6d-cb54-4ebb-92db-d2893bd84d6f,SBBG164511,138983,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,,,,,,,,"R. Burgess","P. Munro",8616,2010-04-10,2010,4,10,100,,"Apr 10, 2010",,"Clay loam; N-facing rd cut; part shade; grassland",,"Colonial annual; 10-15 cm tall; corollas blue with white centers. Locally scattered.",,,,,"Platystemon californicus, Amsinckia tessellata, Bromus rubens",,,,,,,,"United States",California,Ventura,,"Cerro Noreste Rd, vicinity of Valle Vista Campground, W flank of Mt Abel, Los Padres National Forest.",,0,,34.87801,-119.34137,NAD83,200,,,,,,,1469,,,,,4821ft,,,leah6@cox.net,"2018-09-25 01:01:31",,16,urn:uuid:550cff16-f876-4f9e-8f83-445b56fbac68,http://cch2.org/portal/collections/individual/index.php?occid=76240
79215,SBBG,,,PreservedSpecimen,5d84b022-2d5e-4a1d-bc0a-30f340c7afa8,SBBG164504,13120,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"D. Myrick",,231,1961-03-10,1961,3,10,69,,1961-3-10,,"N slope of hillside",,,,,,,,"Flowers Present",,,,,,,"United States",California,Fresno,,"jacalitos Cyn near Coalinga",,0,,36.1015,-120.311,NAD83,2,,,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:9e738d16-d94e-454d-a722-4dc69e547a6f,http://cch2.org/portal/collections/individual/index.php?occid=79215
84545,SBBG,,,PreservedSpecimen,682a3b47-0c9f-456e-90ac-dd557d8da953,SBBG164514,46841,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"L. W. Edge",,389,1973-04-11,1973,4,11,101,,1973-4-11,,,,,,,,"fls light blue, pale center",,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"St Highway 58 near Shell Crk",,0,,35.4585,-120.3335,NAD27,1000,,,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:ba4b4a65-be1c-46b5-86f3-7602ab279df8,http://cch2.org/portal/collections/individual/index.php?occid=84545
91202,SBBG,,,PreservedSpecimen,7578df39-7839-4e5e-b935-7ae906bee4f1,SBBG164528,29932,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"L. Constance",,2259,1940-03-24,1940,3,24,84,,1940-3-24,,"N slope",,,,,,"cor deep blue w/ black central markings","Juniperus, Haplopappus, Artemisia, Lupinus, Eriogonum","Flowers Present",,,,,,,"United States",California,Fresno,,"Curry Mtn, Waltham Cyn [Warthan Cyn]), 9 mi SW of Coalinga",,0,,36.0942,-120.4711,NAD27,1000,,,,MyTopo,,,,,,,,"1600 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:9d07ebf2-0ba3-4dd5-981f-ccb39458489a,http://cch2.org/portal/collections/individual/index.php?occid=91202
93167,SBBG,,,PreservedSpecimen,79686028-d328-49a0-8973-665b5ef87221,SBBG164526,22104,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"H. M. Pollard",,,1965-04-17,1965,4,17,107,,1965-4-17,scattered,"along trail (Coyote Fire Sep 1964)",,,,,,,,"Flowers Present",,,,,,,"United States",California,"Santa Barbara",,"Santa Ynez Mtns: Los Padres National Forest; E fork of Cold Spring Cyn",,0,,34.465,-119.65,NAD83,3,,dwilken,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:1dee64dc-daf9-4041-8867-2034225c75f3,http://cch2.org/portal/collections/individual/index.php?occid=93167
99519,SBBG,,,PreservedSpecimen,866774a8-4a07-4711-a481-15dc309949d2,SBBG164499,64781,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,unknown,,,1896-00-00,1896,0,0,,,1896,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"San Luis Obispo County [not specified]",,0,,,,,,,,,,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:635d2c80-e3c1-4749-90e5-5244e736784c,http://cch2.org/portal/collections/individual/index.php?occid=99519
104876,SBBG,,,PreservedSpecimen,915a0abd-edc8-4355-ac3a-99750f211cbe,SBBG164506,15981,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"W. G. Webb",,,1935-04-20,1935,4,20,110,,1935-4-20,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,Kern,,"Tehachapi Mtns",,0,,,,,,,,,,,,,,,,,"4200 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:9f09eee5-42ba-403d-8eaf-cffb131ae671,http://cch2.org/portal/collections/individual/index.php?occid=104876
111939,SBBG,,,PreservedSpecimen,9f95bd52-a8e4-49bb-b403-4f9ecc677304,SBBG164517,15021,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"E. C. Twisselmann",,6767,1962-04-07,1962,4,7,97,,1962-4-7,"occasional in small dense colonies","gravelly-adobe; steep N slope",,,,,,"cor clear blue, white at base, veined and spotted black",,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"Goldtree Hills, 0.5 mi SW of Grant Lake",,0,,35.5935,-120.152,NAD27,1000,,,,MyTopo,,,,,,,,"1975 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:736a32f0-9cd8-49a0-86d6-5692465b3cd8,http://cch2.org/portal/collections/individual/index.php?occid=111939
112404,SBBG,,,PreservedSpecimen,a0814109-c703-464b-a209-b45bd01bf5ff,SBBG164505,81949,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"C. F. Smith",,2569,1950-03-18,1950,3,18,77,,1950-3-18,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,Kern,,"Soda Lake Rd to Carrizo Plain, ca. 0.8 mi off Hwy 399 near SLO County line",,0,,34.971165,-119.455567,WGS84,500,,"Rancho Santa Ana (no. 9)",,"Google Earth",,"georef from old CCH cumulative file",,,,,,,,,ebalderas,"2018-09-25 01:01:31",,16,urn:uuid:2dac38fe-b010-42aa-816e-37b57742d88d,http://cch2.org/portal/collections/individual/index.php?occid=112404
113691,SBBG,,,PreservedSpecimen,a32d8d4c-9e8b-4173-9453-c7d0f42820dd,SBBG164510,6134,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"H. and M. Dearing",,5065,1945-03-10,1945,3,10,69,,1945-3-10,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,Madera,,"Bass Lake",,0,,37.324,-119.558,NAD83,7,,,,MyTopo,,,,,,,,"3450 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:5740d474-7c50-4c6a-9398-95353de2645a,http://cch2.org/portal/collections/individual/index.php?occid=113691
114052,SBBG,,,PreservedSpecimen,a3e3611b-becd-4e94-8e86-8a9638cde4c4,SBBG164519,34892,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Mrs. R. W. Summers",,,1889-05-00,1889,5,0,,,1889-5,,,,,,,,,,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"Morro Valley",,0,,,,,,,,,,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:596e97a0-9db2-490e-ad8b-d9e7cfc51b29,http://cch2.org/portal/collections/individual/index.php?occid=114052
125161,SBBG,,,PreservedSpecimen,ba7dc5ba-7ff5-4274-ae88-b6c885ba917c,SBBG164524,48273,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"H. M. Pollard",,,1973-03-14,1973,3,14,73,,1973-3-14,,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,"El Mirasol block between Sola and Micheltorena streets, Santa Barbara",,0,,34.4293,-119.706,NAD83,500,,dwilken,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:2ee166eb-0407-4ef1-a3a8-774d6381afe4,http://cch2.org/portal/collections/individual/index.php?occid=125161
127054,SBBG,,,PreservedSpecimen,be2dcd6f-708c-4cb0-81c9-1f6b07fd8367,SBBG164520,64770,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"M. N. Ackley",,391,1922-03-00,1922,3,0,,,1922-3,,hillside,,,,,,"fls purple",,"Flowers Present",,,,,,,"United States",California,Riverside,,"Murrieta Hot Springs",,0,,33.56,-117.157,NAD83,1000,,,,MyTopo,,,,,,,,"1309 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:fb366217-a9f1-45e6-b782-516d5057f62d,http://cch2.org/portal/collections/individual/index.php?occid=127054
127595,SBBG,,,PreservedSpecimen,bf3f0644-9c8f-425d-8f65-d637d7418e33,SBBG164503,40449,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"W. J. Dress",,,1951-03-17,1951,3,17,76,,1951-3-17,,"moist open hillside",,,,,,"cor bright light blue",,"Flowers Present",,,,,,,"United States",California,"Contra Costa",,"W of Orinda",,0,,37.88,-122.189,NAD27,,,,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:fd94928e-7a73-4933-8efa-3e9b8bdecd28,http://cch2.org/portal/collections/individual/index.php?occid=127595
127641,SBBG,,,PreservedSpecimen,bf585e52-a66b-4155-9c67-00291c5a6f65,SBBG164516,54841,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"D. Keil",,13028,1979-04-08,1979,4,8,98,,1979-4-8,"locally common","alkaline soil, field & roadside",,,,,,"fls blue; sts and lvs slightly fleshy",,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"2 mi S of California Valley along Soda Lake Rd",,0,,35.2993,-119.9771,NAD83,500,,,,MyTopo,,,,,,,,"1900 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:51168e4d-4487-4354-86dd-156b75ed483a,http://cch2.org/portal/collections/individual/index.php?occid=127641
130538,SBBG,,,PreservedSpecimen,c52f404f-35fb-4f0f-b3b2-713990194e75,SBBG164500,64776,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Ralph Hoffmann",,,1929-03-29,1929,3,29,88,,1929-3-29,,field,,,,,,,,"Flowers Present",,,,,,,"United States",California,"Santa Barbara",,"Santa Ynez Valley: Buellton to Lompoc",,0,,34.664,-120.333,NAD83,12,,dwilken,,MyTopo,,,,,,,,,,,,"2018-09-25 01:01:31",,16,urn:uuid:2dd84f41-ea83-49e0-b630-7bc577535bcd,http://cch2.org/portal/collections/individual/index.php?occid=130538
132327,SBBG,,,PreservedSpecimen,c8a7796f-e9d5-404b-a450-de7f5ccf7f47,SBBG164498,137525,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii subsp. menziesii",205100,,Nemophila,menziesii,subsp.,menziesii,,,,,,,,"R. C. Benkendorf",,456,2017-04-22,2017,4,22,112,,2017-4-22,,"sparse forest, one year post burn; S-facing 5-10 deg slope",,,,,,,Phacelia,,,,,,,,"United States",California,Monterey,,"[Tassajara Rd, near Chews Ridge Rd]",,0,,36.3125,-121.5725,WGS84,200,,,,,,,1475,,,,,,,,SBBG,"2018-09-25 01:01:31",,16,urn:uuid:aebab99c-59e2-4f94-ba4b-35c4406f91e6,http://cch2.org/portal/collections/individual/index.php?occid=132327
133171,SBBG,,,PreservedSpecimen,ca6afb52-4491-4755-8f6e-65575a3b1822,SBBG164513,107487,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"Clare B. Hardham",,6665,1961-03-22,1961,3,22,81,,1961-3-22,,openings,,,,,,"petals blue, white at base","live oak woods","Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"Nacimiento River",,0,,,,,,,,,,,,,,,,,"1200 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:71290cc0-8294-4fd4-9d59-c295aea3a7e1,http://cch2.org/portal/collections/individual/index.php?occid=133171
133513,SBBG,,,PreservedSpecimen,cb13973f-ea49-4d94-a9e2-c5c9bf7033e9,SBBG164502,64771,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"M. N. Ackley",,389,1921-04-00,1921,4,0,,,1921-4,,valley,,,,,,"pale blue",,"Flowers Present",,,,,,,"United States",California,Lake,,Lakeport,,0,,39.045,-122.92,NAD83,1000,,,,MyTopo,,,,,,,,"1350 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:357b5857-cc4a-47fa-a6e2-dfd67026df1f,http://cch2.org/portal/collections/individual/index.php?occid=133513
141596,SBBG,,,PreservedSpecimen,dbb18802-4004-44c3-99ea-1e6db192276d,SBBG164518,96069,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"F. A. Lindholm",,131,1971-04-08,1971,4,8,98,,1971-4-8,,"open slope near top of hill; sedimentary deposits",,,,,,"cor bright blue w/ white centers",,"Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"6 mi N of Cayucos",,0,,35.473,-120.984,NAD27,2,,,,MyTopo,,,,,,,,"1700 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:16cd29db-02b8-477d-89a5-905825d86463,http://cch2.org/portal/collections/individual/index.php?occid=141596
149846,SBBG,,,PreservedSpecimen,ec7a7c50-5f15-4cdf-b5f1-1bd6b57ec149,SBBG164529,127800,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,,,,,,,,"R. Burgess","P. Munro",5609,2003-04-05,2003,4,5,95,,2003-4-5,abundant,"silty loam; partial shade; southern oak woodland",,,,,,"ann; blue cor, center white with radiating blue lines; 10-15 cm tall","Quercus agrifolia, Rhamnus ilicifolia, Arctostaphylos glauca","Flowers Present",,,,,,,"United States",California,Ventura,,"Los Padres National Forest; N border of Sespe Condor Sanctuary, vicinity of Ant Camp on Agua Blanca Crk",,0,,34.5767,-118.8861,NAD83,500,,dwilken,,MyTopo,,,,,,,,"2900 ft",,,,"2018-09-25 01:01:31",,16,urn:uuid:87595bd5-ba28-491a-8e5e-4d7da4c4df65,http://cch2.org/portal/collections/individual/index.php?occid=149846
156099,SBBG,,,PreservedSpecimen,f8a877b2-28eb-4808-95f5-ae3b5c0596f7,SBBG164509,108888,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii var. menziesii",205103,"Hook. & Arn.",Nemophila,menziesii,var.,menziesii,"Curatorial, 2014",,,,,,,"K. Kirkland",,25,1991-04-12,1991,4,12,102,,1991-4-12,common,"rocky soil, meadow; 4 deg SE-facing slope",,,,,,"diffuse ann w/ pinnately divided lvs and bright blue bowl shaped cor (lighter in center)","Quercus agrifolia, Arbutus","Flowers Present",,,,,,,"United States",California,"San Luis Obispo",,"Los Padres National Forest; East Cuesta Ridge, 2 mi up East Cuesta Ridge Rd from La Cuesta Summit",,0,,35.339,-120.617,NAD27,1000,,,,MyTopo,,,,,,,,"2000 [ft]",,,,"2018-09-25 01:01:31",,16,urn:uuid:b9523418-1739-4a4b-9175-73c8f5f62c88,http://cch2.org/portal/collections/individual/index.php?occid=156099
196188,OBI,,,PreservedSpecimen,64eac599-3867-4bd2-990a-4d7de42ed5c2,OBI106045,48661,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,,,46,1930-00-00,1930,0,0,,,"Spring, 1930",,,,,,,,,,,,,,,,,"United States",California,"Santa Barbara",,,,0,,,,,,,,,,,,,,,,,,,,,"2013-04-04 00:00:00",,12,urn:uuid:0207a805-9a9a-45ea-985c-d3dc83c88107,http://cch2.org/portal/collections/individual/index.php?occid=196188
196189,OBI,,,PreservedSpecimen,2957925c-6d85-47d4-8c0c-6e63b8a8312d,OBI106038,19531,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,"Nemophila menziesii",205099,"Hook. & Arnott",Nemophila,menziesii,,,,,,,,,,"B. W.","T. W.",s.n.,1967-05-06,1967,5,6,126,,6-May-67,,Grassland,,,,,,,,,,,,,,,"United States",California,"San Luis Obispo",,"Avenales Wildlife refuge",,0,,35.2055285,-120.1912599,WGS84,18747,,,,GeoLocate,,,,,,,,,,,,"2013-04-04 00:00:00",,12,urn:uuid:4e568f6f-415c-4ee3-a8a6-53752aac0521,http://cch2.org/portal/collections/individual/index.php?occid=196189
